jid,statecode,year_end,variable,value
431,IN,2017,nat_children,1543000
432,KS,2017,nat_children,696000
433,KY,2017,nat_children,996000
434,LA,2017,nat_children,1099000
435,MA,2017,nat_children,1302000
436,MD,2017,nat_children,1280000
437,ME,2017,nat_children,251000
438,MI,2017,nat_children,2121000
439,MN,2017,nat_children,1243000
440,MO,2017,nat_children,1369000
441,MS,2017,nat_children,714000
442,MT,2017,nat_children,227000
443,NC,2017,nat_children,2238000
444,ND,2017,nat_children,170000
445,NE,2017,nat_children,458000
446,NH,2017,nat_children,252000
447,NJ,2017,nat_children,1864000
448,NM,2017,nat_children,476000
449,NV,2017,nat_children,654000
450,NY,2017,nat_children,3929000
451,OH,2017,nat_children,2565000
452,OK,2017,nat_children,947000
453,OR,2017,nat_children,850000
454,PA,2017,nat_children,2593000
455,RI,2017,nat_children,197000
456,SC,2017,nat_children,1082000
457,SD,2017,nat_children,209000
458,TN,2017,nat_children,1472000
459,TX,2017,nat_children,7008000
460,US,2017,nat_children,71012000
461,UT,2017,nat_children,907000
462,VA,2017,nat_children,1798000
463,VT,2017,nat_children,116000
464,WA,2017,nat_children,1566000
465,WI,2017,nat_children,1256000
466,WV,2017,nat_children,373000
467,WY,2017,nat_children,138000
468,AK,2015,children_imm_parents,26000
469,AL,2015,children_imm_parents,80000
470,AR,2015,children_imm_parents,81000
471,AZ,2015,children_imm_parents,450000
472,CA,2015,children_imm_parents,4446000
473,CO,2015,children_imm_parents,278000
474,CT,2015,children_imm_parents,187000
475,DC,2015,children_imm_parents,28000
476,DE,2015,children_imm_parents,35000
477,FL,2015,children_imm_parents,1330000
478,GA,2015,children_imm_parents,512000
479,HI,2015,children_imm_parents,89000
480,IA,2015,children_imm_parents,74000
481,ID,2015,children_imm_parents,56000
482,IL,2015,children_imm_parents,778000
483,IN,2015,children_imm_parents,155000
484,KS,2015,children_imm_parents,111000
485,KY,2015,children_imm_parents,74000
486,LA,2015,children_imm_parents,76000
487,MA,2015,children_imm_parents,385000
488,MD,2015,children_imm_parents,365000
489,ME,2015,children_imm_parents,16000
490,MI,2015,children_imm_parents,278000
491,MN,2015,children_imm_parents,231000
492,MO,2015,children_imm_parents,101000
493,MS,2015,children_imm_parents,29000
494,MT,2015,children_imm_parents,9000
495,NC,2015,children_imm_parents,417000
496,ND,2015,children_imm_parents,12000
497,NE,2015,children_imm_parents,64000
498,NH,2015,children_imm_parents,28000
499,NJ,2015,children_imm_parents,736000
500,NM,2015,children_imm_parents,107000
501,NV,2015,children_imm_parents,248000
502,NY,2015,children_imm_parents,1515000
503,OH,2015,children_imm_parents,191000
504,OK,2015,children_imm_parents,124000
505,OR,2015,children_imm_parents,191000
506,PA,2015,children_imm_parents,312000
507,RI,2015,children_imm_parents,54000
508,SC,2015,children_imm_parents,106000
509,SD,2015,children_imm_parents,13000
510,TN,2015,children_imm_parents,166000
511,TX,2015,children_imm_parents,2432000
512,US,2015,children_imm_parents,18164000
513,UT,2015,children_imm_parents,153000
514,VA,2015,children_imm_parents,415000
515,VT,2015,children_imm_parents,7000
516,WA,2015,children_imm_parents,438000
517,WI,2015,children_imm_parents,138000
518,WV,2015,children_imm_parents,9000
519,WY,2015,children_imm_parents,10000
520,AK,2016,children_imm_parents,27000
521,AL,2016,children_imm_parents,88000
522,AR,2016,children_imm_parents,77000
523,AZ,2016,children_imm_parents,457000
524,CA,2016,children_imm_parents,4453000
525,CO,2016,children_imm_parents,283000
526,CT,2016,children_imm_parents,195000
527,DC,2016,children_imm_parents,27000
528,DE,2016,children_imm_parents,42000
529,FL,2016,children_imm_parents,1368000
530,GA,2016,children_imm_parents,508000
531,HI,2016,children_imm_parents,91000
532,IA,2016,children_imm_parents,73000
533,ID,2016,children_imm_parents,54000
534,IL,2016,children_imm_parents,772000
535,IN,2016,children_imm_parents,169000
536,KS,2016,children_imm_parents,113000
537,KY,2016,children_imm_parents,77000
538,LA,2016,children_imm_parents,81000
539,MA,2016,children_imm_parents,395000
540,MD,2016,children_imm_parents,372000
541,ME,2016,children_imm_parents,19000
542,MI,2016,children_imm_parents,281000
543,MN,2016,children_imm_parents,233000
544,MO,2016,children_imm_parents,110000
545,MS,2016,children_imm_parents,31000
546,MT,2016,children_imm_parents,8000
547,NC,2016,children_imm_parents,420000
548,ND,2016,children_imm_parents,11000
549,NE,2016,children_imm_parents,67000
550,NH,2016,children_imm_parents,28000
551,NJ,2016,children_imm_parents,752000
552,NM,2016,children_imm_parents,108000
553,NV,2016,children_imm_parents,251000
554,NY,2016,children_imm_parents,1539000
555,OH,2016,children_imm_parents,196000
556,OK,2016,children_imm_parents,126000
557,OR,2016,children_imm_parents,189000
558,PA,2016,children_imm_parents,325000
559,RI,2016,children_imm_parents,55000
560,SC,2016,children_imm_parents,112000
561,SD,2016,children_imm_parents,12000
562,TN,2016,children_imm_parents,174000
563,TX,2016,children_imm_parents,2457000
564,US,2016,children_imm_parents,18434000
565,UT,2016,children_imm_parents,148000
566,VA,2016,children_imm_parents,423000
567,VT,2016,children_imm_parents,8000
568,WA,2016,children_imm_parents,460000
569,WI,2016,children_imm_parents,146000
570,WV,2016,children_imm_parents,10000
571,WY,2016,children_imm_parents,11000
572,AK,2017,children_imm_parents,25000
573,AL,2017,children_imm_parents,91000
574,AR,2017,children_imm_parents,77000
575,AZ,2017,children_imm_parents,468000
576,CA,2017,children_imm_parents,4360000
577,CO,2017,children_imm_parents,284000
578,CT,2017,children_imm_parents,197000
579,DC,2017,children_imm_parents,29000
580,DE,2017,children_imm_parents,44000
581,FL,2017,children_imm_parents,1401000
582,GA,2017,children_imm_parents,519000
583,HI,2017,children_imm_parents,92000
584,IA,2017,children_imm_parents,77000
585,ID,2017,children_imm_parents,54000
586,IL,2017,children_imm_parents,771000
587,IN,2017,children_imm_parents,179000
588,KS,2017,children_imm_parents,109000
589,KY,2017,children_imm_parents,74000
590,LA,2017,children_imm_parents,81000
591,MA,2017,children_imm_parents,393000
592,MD,2017,children_imm_parents,379000
593,ME,2017,children_imm_parents,21000
594,MI,2017,children_imm_parents,286000
595,MN,2017,children_imm_parents,238000
596,MO,2017,children_imm_parents,113000
597,MS,2017,children_imm_parents,32000
598,MT,2017,children_imm_parents,8000
599,NC,2017,children_imm_parents,429000
600,ND,2017,children_imm_parents,11000
601,NE,2017,children_imm_parents,75000
602,NH,2017,children_imm_parents,28000
603,NJ,2017,children_imm_parents,772000
604,NM,2017,children_imm_parents,98000
605,NV,2017,children_imm_parents,253000
606,NY,2017,children_imm_parents,1528000
607,OH,2017,children_imm_parents,210000
608,OK,2017,children_imm_parents,117000
609,OR,2017,children_imm_parents,198000
610,PA,2017,children_imm_parents,346000
611,RI,2017,children_imm_parents,55000
612,SC,2017,children_imm_parents,116000
613,SD,2017,children_imm_parents,12000
614,TN,2017,children_imm_parents,182000
615,TX,2017,children_imm_parents,2509000
616,US,2017,children_imm_parents,18578000
617,UT,2017,children_imm_parents,152000
618,VA,2017,children_imm_parents,437000
619,VT,2017,children_imm_parents,9000
620,WA,2017,children_imm_parents,472000
621,WI,2017,children_imm_parents,142000
622,WV,2017,children_imm_parents,10000
623,WY,2017,children_imm_parents,12000
624,AK,2015,children_native_parents,155000
625,AL,2015,children_native_parents,1003000
626,AR,2015,children_native_parents,605000
627,AZ,2015,children_native_parents,1123000
628,CA,2015,children_native_parents,4482000
629,CO,2015,children_native_parents,953000
630,CT,2015,children_native_parents,565000
631,DC,2015,children_native_parents,85000
632,DE,2015,children_native_parents,166000
633,FL,2015,children_native_parents,2650000
634,GA,2015,children_native_parents,1929000
